dataset_url,dataset_domain,dataset_type,source_category,n_papers,first_year_used,last_year_used,regions,regions_alt,papers_is_data_used_true,regions_used,is_doi_link,is_github,is_open_repo_domain
https://10.13130/RD_UNIMI/JEA5XX,10.13130,other,other_web,1,2023,2023,['Europe'],['Italy'],1,['Europe'],FALSE,FALSE,FALSE
https://10.17605/OSF.IO/JQ37Y,10.17605,other,other_web,1,2020,2020,['Europe'],['Netherlands'],1,['Europe'],FALSE,FALSE,FALSE
https://10.17632/g73pbyprm5.1,10.17632,other,other_web,1,2022,2022,['Europe'],['Germany'],1,['Europe'],FALSE,FALSE,FALSE
https://10.17632/p9c8rnjsyh.1,10.17632,other,other_web,1,2024,2024,['Asia'],['India'],1,['Asia'],FALSE,FALSE,FALSE
https://10.17632/tn4xtwh835.2,10.17632,other,other_web,1,2023,2023,['South America'],['Chile'],1,['South America'],FALSE,FALSE,FALSE
https://10.5281/zenodo.8363461,10.5281,other,other_web,1,2024,2024,['Europe'],['Germany'],1,['Europe'],FALSE,FALSE,FALSE
https://10.7282/00000369,10.7282,other,other_web,1,2024,2024,['North America'],['United States'],1,['North America'],FALSE,FALSE,FALSE
https://asu-trans-ai-lab.github.io/web/index.html,asu-trans-ai-lab.github.io,other,other_web,1,2023,2023,['North America'],['United States'],1,['North America'],FALSE,FALSE,FALSE
https://bit.ly/3VHdIJM,bit.ly,other,other_web,1,2024,2024,['Asia'],['Japan'],1,['Asia'],FALSE,FALSE,FALSE
https://bridges.monash.edu/articles/Australian_Parked_Bicycle_Geometry_Database/12228029,bridges.monash.edu,other,university_repo,1,2020,2020,['Oceania'],['Australia'],1,['Oceania'],FALSE,FALSE,FALSE
https://clusters.recherche.enac.fr,clusters.recherche.enac.fr,other,other_web,1,2020,2020,['Asia'],['China'],1,['Asia'],FALSE,FALSE,FALSE
https://covidfuture.org/data,covidfuture.org,other,ngo_nonprofit_org,1,2022,2022,['North America'],['United States'],1,['North America'],FALSE,FALSE,FALSE
https://data.4tu.nl/articles/software/A_model_for_modifying_the_public_transport_service_patterns_to_account_for_the_imposed_COVID-19_capacity/13383146,data.4tu.nl,other,other_web,1,2021,2021,['Europe'],['Netherlands'],1,['Europe'],FALSE,FALSE,FALSE
https://data.4tu.nl/datasets/141522d5-84a8-4ec7-a362-d01ef2c75b7a,data.4tu.nl,other,other_web,1,2024,2024,['Europe'],['Belgium'],1,['Europe'],FALSE,FALSE,FALSE
https://data.4tu.nl/datasets/ea9f1238-0cc8-47ba-b8c6-3e0846fb8d19,data.4tu.nl,other,other_web,1,2024,2024,['Europe'],['Netherlands'],1,['Europe'],FALSE,FALSE,FALSE
https://data.bris.ac.uk/data/dataset/00000000000000000000,data.bris.ac.uk,other,university_repo,1,2021,2021,['Europe'],['Ukraine'],1,['Europe'],FALSE,FALSE,FALSE
https://data.cityofchicago.org/Transportation/Transportation-Network-Providers-Trips/m6dm-c72p,data.cityofchicago.org,other,ngo_nonprofit_org,1,2023,2023,['North America'],['United States'],1,['North America'],FALSE,FALSE,FALSE
