doi,dataset_url,dataset_domain,dataset_type,dataset_source_category
10.1016/j.tra.2023.103584,https://zenodo.org/record/5517983,zenodo.org,open_repo,open_repo_doi
10.1016/j.trip.2021.100322,https://pedbikeinfo.org/shiftingstreets,pedbikeinfo.org,other,ngo_nonprofit_org
10.1016/j.trip.2021.100322,https://pedbikeinfo.org/resources/resources_details.cfm,pedbikeinfo.org,other,ngo_nonprofit_org
10.1016/j.trip.2021.100322,https://www.covidmobilityworks.org,covidmobilityworks.org,other,ngo_nonprofit_org
10.1016/j.trip.2021.100322,https://datasketch.github.io/mobility-actions,datasketch.github.io,other,other_web
10.1016/j.trb.2022.01.005,https://fprodrigues.com/amortized-mxl,fprodrigues.com,other,other_web
10.1016/j.trc.2024.104704,https://10.5281/zenodo.8363461,None,other,other_web
10.1016/j.trd.2019.04.002,https://sourceforge.net/projects/electric-vehicle-project/files,sourceforge.net,other,other_web
10.1016/j.trf.2023.01.021,https://doi.org/10.4121/21069820,doi.org,open_repo,open_repo_doi
10.1016/j.trc.2019.11.009,https://github.com/KGkiotsalitis/bus-dispatching-in-rolling-horizons,github.com,code_host,code_host
10.1016/j.trd.2019.04.014,https://doi.org/10.5281/zenodo.2658117,doi.org,open_repo,open_repo_doi
10.1016/j.tre.2022.102827,https://figshare.com/s/e1631bc804deed885d43,figshare.com,open_repo,open_repo_doi
10.1016/j.tre.2021.102601,https://github.com/davidrey123/DARP,github.com,code_host,code_host
10.1016/j.trf.2019.07.019,https://github.com/mkatliar/omsf,github.com,code_host,code_host
10.1016/j.trc.2020.02.004,https://github.com/DrKeHan/DTD,github.com,code_host,code_host
10.1016/j.tra.2024.103987,https://data.mendeley.com/datasets/xt69cnwh56/1,data.mendeley.com,open_repo,open_repo_doi
10.1016/j.trc.2023.104068,https://github.com/danlegend5/FitFun,github.com,code_host,code_host
10.1016/j.tra.2023.103785,https://github.com/ghirte/WorkingFromCar,github.com,code_host,code_host
10.1016/j.trc.2021.103185,https://github.com/RomainLITUD/DGCN_traffic_forecasting,github.com,code_host,code_host
10.1016/j.trc.2021.103490,https://data.mendeley.com/datasets/wfn2c3437n/2,data.mendeley.com,open_repo,open_repo_doi
10.1016/j.trip.2021.100436,https://data.mendeley.com/datasets/xf5cvrkwps/3,data.mendeley.com,open_repo,open_repo_doi
10.1016/j.trc.2023.104402,https://github.com/tongnie/GNN4Flow,github.com,code_host,code_host
10.1016/j.trc.2021.103081,https://github.com/ronan-keane/havsim,github.com,code_host,code_host
10.1016/j.trd.2023.103825,https://zenodo.org/record/7866504,zenodo.org,open_repo,open_repo_doi
10.1016/j.tra.2023.103906,https://data.4tu.nl/datasets/ea9f1238-0cc8-47ba-b8c6-3e0846fb8d19,data.4tu.nl,other,other_web
10.1016/j.trc.2022.103966,https://doi.org/10.5281/zenodo.7426506,doi.org,open_repo,open_repo_doi
10.1016/j.trc.2022.103966,https://open-traffic.epfl.ch,open-traffic.epfl.ch,other,other_web
